1540000.0,32
1550000.0,24
1560000.0,32
1570000.0,27
1580000.0,27
1590000.0,38
1600000.0,28
1610000.0,37
1620000.0,36
1630000.0,26
1640000.0,42
1650000.0,45
1660000.0,47
1670000.0,46
1680000.0,58
1690000.0,69
1700000.0,65
1710000.0,70
1720000.0,94
1730000.0,96
1740000.0,93
1750000.0,114
1760000.0,101
1770000.0,107
1780000.0,137
1790000.0,122
1800000.0,120
1810000.0,109
1820000.0,117
1830000.0,104
1840000.0,99
1850000.0,79
1860000.0,85
1870000.0,76
1880000.0,68
1890000.0,59
1900000.0,68
1910000.0,46
1920000.0,38
1930000.0,46
1940000.0,53
1950000.0,43
1960000.0,38
1970000.0,45
1980000.0,48
1990000.0,28
2000000.0,39
2010000.0,37
2020000.0,31
2030000.0,32
2040000.0,41
2050000.0,34
2060000.0,29
2070000.0,25
2080000.0,22
2090000.0,29
2100000.0,33
2110000.0,34
2120000.0,37
2130000.0,39
2140000.0,29
2150000.0,40
2160000.0,38
2170000.0,34
2180000.0,34
2190000.0,29
2200000.0,38
2210000.0,32
2220000.0,30
2230000.0,34
2240000.0,33
2250000.0,38
2260000.0,33
2270000.0,28
2280000.0,30
2290000.0,36
2300000.0,35
2310000.0,46
2320000.0,33
2330000.0,44
2340000.0,40
2350000.0,30
2360000.0,40
2370000.0,31
2380000.0,34
2390000.0,38
2400000.0,39
2410000.0,44
2420000.0,37
2430000.0,34
2440000.0,31
2450000.0,20
2460000.0,33
2470000.0,31
2480000.0,23
2490000.0,28
2500000.0,34
2510000.0,26
2520000.0,30
2530000.0,28
2540000.0,29
2550000.0,28
2560000.0,30
2570000.0,35
2580000.0,28
2590000.0,33
2600000.0,18
2610000.0,30
2620000.0,19
2630000.0,19
2640000.0,19
2650000.0,24
2660000.0,29
2670000.0,22
2680000.0,21
2690000.0,26
2700000.0,18
2710000.0,27
2720000.0,21
2730000.0,26
2740000.0,27
2750000.0,18
2760000.0,24
2770000.0,18
2780000.0,22
2790000.0,21
2800000.0,23
2810000.0,31
2820000.0,24
2830000.0,21
2840000.0,19
2850000.0,26
2860000.0,18
2870000.0,20
2880000.0,21
2890000.0,25
2900000.0,22
2910000.0,18
2920000.0,27
2930000.0,21
2940000.0,35
2950000.0,43
2960000.0,29
2970000.0,46
2980000.0,35
2990000.0,54
3000000.0,51
3010000.0,66
3020000.0,71
3030000.0,60
3040000.0,57
3050000.0,69
3060000.0,78
3070000.0,80
3080000.0,74
3090000.0,86
3100000.0,78
3110000.0,81
3120000.0,86
3130000.0,80
3140000.0,71
3150000.0,74
3160000.0,68
3170000.0,74
3180000.0,65
3190000.0,61
3200000.0,60
3210000.0,46
3220000.0,42
3230000.0,38
3240000.0,28
3250000.0,23
3260000.0,38
3270000.0,21
3280000.0,24
3290000.0,17
3300000.0,20
3310000.0,11
3320000.0,20
3330000.0,27
3340000.0,16
3350000.0,24
3360000.0,41
3370000.0,35
3380000.0,39
3390000.0,41
3400000.0,53
3410000.0,53
3420000.0,49
3430000.0,61
3440000.0,63
3450000.0,70
3460000.0,92
3470000.0,67
3480000.0,61
3490000.0,76
3500000.0,89
3510000.0,65
3520000.0,64
3530000.0,67
3540000.0,68
3550000.0,55
3560000.0,59
3570000.0,55
3580000.0,41
3590000.0,50
3600000.0,47
3610000.0,40
3620000.0,49
3630000.0,31
3640000.0,24
3650000.0,26
3660000.0,26
3670000.0,22
3680000.0,19
3690000.0,19
3700000.0,10
3710000.0,10
3720000.0,7
3730000.0,12
3740000.0,5
3750000.0,9
3760000.0,8
3770000.0,2
3780000.0,2
3790000.0,7
3800000.0,3
3810000.0,4
3820000.0,3
3830000.0,4
3840000.0,8
3860000.0,5
3870000.0,2
3880000.0,2
3890000.0,3
3900000.0,6
3910000.0,5
3920000.0,2
3930000.0,5
3940000.0,2
